%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle0;220;100;5070;180;100;5115;B46;PL
Vehicle0;180;100;5115;180;100;5120;B47;PL
Vehicle0;180;100;5120;220;100;5165;B45;PU
Vehicle0;220;100;5165;10;100;5380;B45;PL
Vehicle0;10;100;5380;240;100;5615;B55;PU
Vehicle0;240;100;5615;0;100;5860;B55;PL
Vehicle0;0;100;5860;240;100;6105;B53;PU
Vehicle0;240;100;6105;240;100;6110;B54;PU
Vehicle0;240;100;6110;210;100;6145;B53;PL
Vehicle0;210;100;6145;210;100;6150;B54;PL
Vehicle0;210;100;6150;240;100;6185;B52;PU
Vehicle0;240;100;6185;10;100;6420;B52;PL
Vehicle0;10;100;6420;250;100;6665;B58;PU
Vehicle0;250;100;6665;250;100;6670;B59;PU
Vehicle0;250;100;6670;250;100;6675;B59;PL
Vehicle0;250;100;6675;10;100;6920;B58;PL
Vehicle0;10;100;6920;250;100;7165;B57;PU
Vehicle0;250;100;7165;250;100;7170;B59;PU
Vehicle0;250;100;7170;250;100;7175;B59;PL
Vehicle0;250;100;7175;0;100;7430;B57;PL
Vehicle0;0;100;7430;260;100;7695;B63;PU
Vehicle0;260;100;7695;10;100;7950;B63;PL
Vehicle0;10;100;7950;290;100;8235;B74;PU
Vehicle0;290;100;8235;290;100;8240;B75;PU
Vehicle0;290;100;8240;240;100;8295;B75;PL
Vehicle0;240;100;8295;240;100;8300;B74;PL
Vehicle0;240;100;8300;290;100;8355;B73;PU
Vehicle0;290;100;8355;0;100;8650;B73;PL
Vehicle0;0;100;8650;310;100;8965;B82;PU
Vehicle0;310;100;8965;310;100;8970;B83;PU
Vehicle0;310;100;8970;310;100;8975;B83;PL
Vehicle0;310;100;8975;10;100;9280;B82;PL
Vehicle0;10;100;9280;310;100;9585;B81;PU
Vehicle0;310;100;9585;310;100;9590;B83;PU
Vehicle0;310;100;9590;220;100;9685;B81;PL
Vehicle0;220;100;9685;220;100;9690;B83;PL
Vehicle0;220;100;9690;310;100;9785;B80;PU
Vehicle0;310;100;9785;10;100;10090;B80;PL
Vehicle0;10;100;10090;320;100;10405;B87;PU
Vehicle0;320;100;10405;10;100;10720;B87;PL
Vehicle0;10;100;10720;320;100;11035;B85;PU
Vehicle0;320;100;11035;320;100;11040;B86;PU
Vehicle0;320;100;11040;310;100;11055;B86;PL
Vehicle0;310;100;11055;310;100;11060;B85;PL
Vehicle0;310;100;11060;320;100;11075;B84;PU
